href,comments,timestamp,ig_user
,Tu é showwwww,1596512745,@maionesematheus
,Linda demais minha bia,1595791514,@beatrizgtorress
,Incrível👏,1595464695,@computacao.univasf
,"Bem maravilhosa, tô só admirando",1595105391,@dravitoriabezerra
,Terá certificado ?,1595095251,@unep_pt
,@angela_van00 @anacarolinade848,1595091183,@unigranriolaoh
,Minha família com saúde e minhas plantinhas bemmm,1594614930,@terrasdosbudas
,Força 💓💓💓 estamos com você,1594307813,@mayracardi
,"O momento mais esperado. Fico tão felizzzzzzzz por vocês. No meio de tanta coisa ruim, vocês trazendo felicidade aos seus seguidores e fãs. Sempre maravilhosossssss",1593960404,@lucas_lira
,Nnnnmnnn aguentoooooo,1593959045,@sunaikabruna
,Maravilhosa,1593911077,@mayracardi
,Você é maravilhosa nas indicações💓,1593638435,@achadinhosalgueiro
,@del.brunolima,1593533432,@eco_patinhas
,@del.brunolima,1593533349,@eco_patinhas
,@del.brunolima,1593533345,@eco_patinhas
,@del.brunolima,1593533342,@eco_patinhas
,@del.brunolima,1593533338,@eco_patinhas
,@del.brunolima,1593533334,@eco_patinhas
,@del.brunolima,1593533330,@eco_patinhas
,@del.brunolima,1593533325,@eco_patinhas
,@del.brunolima,1593533318,@eco_patinhas
,@del.brunolima,1593533313,@eco_patinhas
,@del.brunolima,1593533308,@eco_patinhas
,@del.brunolima,1593533303,@eco_patinhas
,@del.brunolima,1593533296,@eco_patinhas
,O melhorrrr,1593293407,@bombadosartistas
,A música precisa desse talento que vocês são,1593186721,@__starangel
,Anjos,1593185841,@__starangel
,Princesas,1593185839,@__starangel
,Coisas lindassss,1593185831,@__starangel
,"@fiosdehenne2020 simmm, é bemmmm difícil ter. Mayra se destaca por toda a evolução dela. Que cheguemos lá, porque isso é mais positivo pra gente do que para o outro 💓",1593184344,@mayracardi
,@fiosdehenne2020 Mayra é incrível e só está sendo superior... 💗💗,1593184126,@mayracardi
,"Parabéns por sua força, por seu amor também por ele. Amar é uma dádiva.",1593183859,@mayracardi
,Casa comigoooooo,1593183838,@mayracardi
,QUEEEEE MULHERRRR DO CARALHO VOCE É MAYRA. TE VENEROOOOOOOOO,1593183830,@mayracardi
,Mulher maravilhosa,1592838023,@mayracardi
,"Virtual, é o mais viável no momento atual.",1592793140,@conedu.oficial
,Maravilhosa,1592773616,@gabyfelixoficial
,Nossa incrível e amada kah. 💗💗💗 Ela é única,1592322723,@gab.olivers
,"Ja é linda e grávida fico imaginando o nível de beleza. Coisa linda. Parabéns, que benção. Fico feliz por vocês💗💗💗",1592260070,@samanthaadantas
,Felicidades meu amor mais linda,1591967398,@nivyamarllem
,Uma princesa. Saudades. Bem pra cá,1588261035,@ingridjordania.s
,Lindaaa e livre,1588133948,@mrafaelalopes
,A vontade que dá de tacar a tesouro no meu cabelo vendo esse vídeo é surrel,1588133924,@mrafaelalopes
,Vermelhooo,1587753368,@dedaaladim
,Deus os conforte 😐,1587479563,@mirelle.sant
,Meus sentimentos...,1587479548,@mirelle.sant
,Valorr,1587380891,@kehserfit
,"Tô contigo e não abro, mesmo não acompanhando o BBB, mas vejo o suficiente pra saber que tem que ser você",1587353776,@babusantana
,@italogiullian queria também❤️,1587206858,@darmaespiritual
,"@italogiullian estarei logo, logo ❤️❤️❤️",1587206821,@br4sileirissimos
,"A você, minha gratidão pelo excelente trabalho e confiança que passa. Para bolsonaro, infelizmente, minha decepção total.",1587125584,@henriquemandetta
,Deus os abençoe,1586995721,@saulo
,Espero que se torne um marido excepcional,1586995713,@saulo
,Fico feliz por sua imersão. Parabéns,1586995673,@saulo
,Ver Lorena. Num é @luanaci09 ?,1586737899,@triptaminaworld
,esperandooo,1586372559,@vanguartoficial
,A dúvida,1586299541,@resiliencia_humana
,Uma lindeza do mundo todo,1585412415,@izabeltinin
,Obrigada😍😍😍😍,1585105826,@mineducacao
,"@alexlimaoficiaal claro, pq uns irem e outros ficarem em casa super vale de alguma coisa né.",1585101749,@jairmessiasbolsonaro
,"Dando stop nas minhas atividades de homeoffice, para expressar meu medo desse que é o presidente do Brasil, que vai contra evidências científicas e contra profissionais da área da saúde. #ficaemcasabr",1585101611,@jairmessiasbolsonaro
,"@claraheriazevedo médicos, biólogos, enfermeiros e todo rede da saúde, eles estão certos.",1585099117,@jairmessiasbolsonaro
,"De fato, uma coisa é um MÉDICO FALANDO A RESPEITO, outra coisa totalmente diferente é um presidente totalmente fora da realidade falando a respeito e ridicularizando. Drauzio pode sim usar o termo ""gripezinha"". Drauzio é médico, conhece dessa realidade e a rotina desses surtos.",1584936337,@flaviobolsonaro
,"Muito bom ver que ainda existe gente boa no mundo, que se importa com seu semelhante ❤️",1584844267,@razoesparaacreditar
,"Ah, esses seres humanos 😻",1584844242,@razoesparaacreditar
,@italogiullian 😐😐😐😐😐,1584801461,@frasespichadas
,Lindos vocês 💙💙💙,1584572711,@ambev
,O casal da minha vida é essa aí,1582230256,@tabatachang
,Lindas palavras❤️,1581603118,@italogiullian
,"Te amo muito, muito. Obrigada por tudo que tem feito e faz por mim  e por nós, por ser tão atencioso e dedicado",1581603046,@italogiullian
,Parabéns!!!!!!!,1581502680,@arraseane.store
,Os resultados de suas noites são perceptíveis. A loja chegou e ganhou a cidade.,1581502669,@arraseane.store
